state,date
on,2025-03-01 01:41:37.532188+00:00
off,2025-03-01 04:41:36.152762+00:00
on,2025-03-01 21:41:27.957830+00:00
off,2025-03-02 01:41:26.251795+00:00
on,2025-03-03 01:11:15.038964+00:00
off,2025-03-03 04:41:13.327896+00:00
off,2025-03-03 17:46:50.118915+00:00
on,2025-03-04 04:11:01.867556+00:00
off,2025-03-04 07:11:00.288916+00:00
off,2025-03-10 21:12:38.104950+00:00
on,2025-03-12 09:38:30.626175+00:00
off,2025-03-12 16:09:22.850286+00:00
on,2025-03-13 07:39:15.342051+00:00
off,2025-03-13 10:09:14.103445+00:00
on,2025-03-14 00:09:07.103726+00:00
off,2025-03-14 04:09:05.386070+00:00
off,2025-03-14 08:20:17.101534+00:00
