temperature,date
partlycloudy,2025-02-17 14:44:30.224871+00:00
sunny,2025-02-17 16:46:30.229377+00:00
partlycloudy,2025-02-17 17:47:30.242236+00:00
clear-night,2025-02-17 19:49:30.237196+00:00
partlycloudy,2025-02-17 22:52:30.246167+00:00
sunny,2025-02-18 07:00:30.229588+00:00
partlycloudy,2025-02-18 08:01:30.234376+00:00
sunny,2025-02-18 09:02:30.222464+00:00
partlycloudy,2025-02-18 10:03:30.238529+00:00
cloudy,2025-02-18 22:15:30.228954+00:00
partlycloudy,2025-02-19 05:22:30.228836+00:00
cloudy,2025-02-19 07:24:30.227669+00:00
partlycloudy,2025-02-19 08:25:30.244817+00:00
cloudy,2025-02-19 12:29:30.225575+00:00
partlycloudy,2025-02-19 20:37:30.230722+00:00
cloudy,2025-02-19 23:40:30.241150+00:00
partlycloudy,2025-02-20 00:41:30.225807+00:00
cloudy,2025-02-20 01:42:30.218760+00:00
partlycloudy,2025-02-20 02:43:30.221468+00:00
cloudy,2025-02-20 04:45:30.213978+00:00
partlycloudy,2025-02-20 07:48:30.264484+00:00
cloudy,2025-02-20 10:51:30.240127+00:00
partlycloudy,2025-02-21 09:13:30.226236+00:00
cloudy,2025-02-21 12:16:30.227851+00:00
rainy,2025-02-22 06:34:30.239275+00:00
cloudy,2025-02-22 08:36:30.262754+00:00
rainy,2025-02-22 10:38:30.244003+00:00
cloudy,2025-02-22 12:40:30.247449+00:00
partlycloudy,2025-02-22 18:46:30.247876+00:00
cloudy,2025-02-22 19:47:30.251537+00:00
partlycloudy,2025-02-22 21:49:30.271151+00:00
clear-night,2025-02-23 01:53:30.250605+00:00
sunny,2025-02-23 07:59:30.243811+00:00
partlycloudy,2025-02-23 14:05:30.245585+00:00
cloudy,2025-02-23 17:08:30.276943+00:00
partlycloudy,2025-02-23 18:09:30.258929+00:00
cloudy,2025-02-23 19:10:30.250911+00:00
partlycloudy,2025-02-23 20:11:30.260860+00:00
cloudy,2025-02-23 21:12:30.259984+00:00
rainy,2025-02-24 14:29:30.240399+00:00
cloudy,2025-02-24 17:32:30.236625+00:00
fog,2025-02-25 02:41:30.243562+00:00
cloudy,2025-02-25 05:44:30.240050+00:00
rainy,2025-02-25 07:46:30.240931+00:00
cloudy,2025-02-25 13:52:30.247138+00:00
rainy,2025-02-25 14:53:30.247843+00:00
cloudy,2025-02-26 00:02:30.220984+00:00
partlycloudy,2025-02-26 02:04:30.225568+00:00
clear-night,2025-02-26 03:05:30.240348+00:00
sunny,2025-02-26 07:09:30.236160+00:00
partlycloudy,2025-02-27 13:00:37.975381+00:00
rainy,2025-02-27 14:01:38.398706+00:00
partlycloudy,2025-02-27 15:02:38.406331+00:00
clear-night,2025-02-27 19:06:38.401484+00:00
partlycloudy,2025-02-28 01:12:38.397949+00:00
clear-night,2025-02-28 02:13:38.401261+00:00
partlycloudy,2025-02-28 05:16:38.410478+00:00
clear-night,2025-02-28 06:17:38.378495+00:00
cloudy,2025-02-28 07:18:38.397067+00:00
partlycloudy,2025-02-28 14:25:38.410282+00:00
clear-night,2025-02-28 17:28:38.398834+00:00
partlycloudy,2025-02-28 18:29:38.402780+00:00
clear-night,2025-02-28 19:30:38.399091+00:00
sunny,2025-03-01 06:41:38.411965+00:00
partlycloudy,2025-03-01 07:42:38.402714+00:00
cloudy,2025-03-01 10:45:38.447720+00:00
partlycloudy,2025-03-01 11:46:38.398560+00:00
clear-night,2025-03-01 21:56:38.412309+00:00
sunny,2025-03-02 07:05:38.388566+00:00
partlycloudy,2025-03-02 13:11:38.388166+00:00
sunny,2025-03-02 15:13:38.401227+00:00
clear-night,2025-03-02 18:16:38.397277+00:00
sunny,2025-03-03 06:28:38.406975+00:00
